maker,name,price
富士通 FUJITSU,FMVF60G3WC [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Core i5-1135G7/メモリ 16GB/SSD 256GB ＋ HDD 1TB/Sマルチ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト/ヨドバシカメラ限定モデル],"￥199,800"
HP,6K5C4PA-AAAC [デスクトップパソコン HP 24-ck0000 AiO G1モデル/23.8型/Core i7-1255U/メモリ 16GB/SSD 512GB＋HDD 2TB/Windows 11 Home/Office Home ＆ Business 2021/スターリーホワイト],"￥181,630"
ミニズフォーラム MINISFORUM,UM580B-32/512-W11Pro（5800H） [小型デスクトップパソコン/Ryzen7 5800H/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥88,660"
富士通 FUJITSU,FMVF60G3W [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Core i5-1135G7/メモリ 8GB/SSD 512GB/Sマルチ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト],"￥170,780"
レノボ･ジャパン Lenovo,90SM0064JP [デスクトップPC/IdeaCentre 370i/ Core i5/HDD 1TB+SSD 256GB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥128,480"
富士通 FUJITSU,FMVF77G3B [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Core i7-1165G7/メモリ 16GB/SSD 256GB ＋ HDD 1TB/BDXL/TVチューナー/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック],"￥210,780"
富士通 FUJITSU,FMVF90F3B [デスクトップパソコン/FMV/FHシリーズ/27.0型ワイド/Core i7-1165G7/メモリ 16GB/SSD 256GB＋HDD 4TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック],"￥205,780"
HP,6K5C4PA-AAAA [デスクトップパソコン HP 24-ck0000 AiO G1モデル/23.8型/Core i7-1255U/メモリ 16GB/SSD 512GB＋HDD 2TB/Windows 11 Home/スターリーホワイト],"￥174,800"
ミニズフォーラム MINISFORUM,UM560XT-16/512-W11Pro（5600H） [ミニパソコン/Ryzen 5 5600H/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥60,300"
エイスース ASUS,G10CE-I5R2060SBY [ゲーミングデスクトップパソコン/ROG Strix G10CE/Core i5-11400F/GeForce RTX 2060 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/グレー],"￥129,800"
デル DELL,SI70-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i7-13700/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥191,800"
HP,52P36PA-AAAZ [デスクトップパソコン/HP Pavilion Desktop TP01-2000 G1モデル/Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ナチュラルシルバー],"￥129,800"
レノボ･ジャパン Lenovo,F0GH00CSJP [一体型デスクトップパソコン IdeaCentre AIO 370i/23.8型/Core i7/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥164,780"
ミニズフォーラム MINISFORUM,TH60-16/512-W11Pro（11400H） [小型デスクトップパソコン/Core i5-11400H/UHD Graphics/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥84,190"
エイスース ASUS,G10CE-I7R2060SBY [ゲーミングデスクトップパソコン/ROG Strix G10CE/Core i7-11700F/GeForce RTX 2060 SUPER/メモリ 16GB/SSD 1TB/Windows 11 Home/グレー],"￥159,800"
HP,52M18PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 7 5700G/メモリ 16GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥129,800"
HP,52M18PA-AABV [デスクトップパソコン/HP Pavilion Desktop TP01-2000 G1モデル/Ryzen 7 5700G/メモリ 16GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ナチュラルシルバー],"￥154,800"
デル DELL,DI80-CWL [Inspiron 3910 デスクトップ/Corei7 12700F/メモリ16GB DDR4/GTX 1660 SUPER/SSD 512GB/Windows 11 Home/ブラック],"￥184,800"
レノボ･ジャパン Lenovo,90SM0065JP [デスクトップPC/IdeaCentre 370i/ Core i5/HDD 1TB+SSD 256GB/メモリ 8GB/Windows 11 Home/グレー],"￥106,480"
ミニズフォーラム MINISFORUM,UM330-8/256-W11Pro（3300U） [小型デスクトップパソコン/Ryzen3 3300U/メモリ 8GB/SSD 256GB/Windows 11 Pro],"￥50,570"
HP,613V7PA-AAAL [一体型デスクトップパソコン/HP 27-cb0000 AiO G1モデル/27型/Ryzen 7 5700U/メモリ 16GB/SSD 512GB＋HDD 2TB/Windows 11 Home/Office Home ＆ Business 2021/スターリーホワイト],"￥200,800"
デル DELL,FI537-CHHBWC [Inspiron 24 5410 フレームレス デスクトップ/一体型デスクトップ/第12世代インテル Core i3-1215U/メモリ8GB/UHD グラフィックス/SSD 256GB/Wi-Fi6E/Windows 11 Home/Office Home&Business 2021/パールホワイト],"￥139,800"
デル DELL,SI30-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i3-13100/UHD グラフィックス/メモリ 8GB/SSD 256GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥119,800"
ミニズフォーラム MINISFORUM,UM350-8/256-W10Pro（3550H） [小型デスクトップパソコン/Ryzen 5 3550H/Radeon RX Vega 8 Graphics/メモリ 8GB/SSD 256GB/Windows 10 Pro],"￥60,000"
エイスース ASUS,M5401WYAK-WA031WS [デスクトップパソコン/ASUS ZenAiO 24 M5401WYAK/23.8型/Ryzen 7 5825U/メモリ 16GB/SSD 512G/HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト],"￥199,800"
HP,52M17PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥94,800"
デル DELL,FI537-CHHBBC [Inspiron 24 5410 フレームレス デスクトップ/一体型デスクトップ/第12世代インテル Core i3-1215U/メモリ8GB/UHD グラフィックス/SSD 256GB/Wi-Fi6E/Windows 11 Home/Office Home&Business 2021/ダークシャドウグレー],"￥139,800"
レノボ･ジャパン Lenovo,90SM0061JP [デスクトップPC/ IdeaCentre 370i/ Core i3/HDD 1TB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥117,480"
エイスース ASUS,S500SD-I512400LU [デスクトップパソコン/Core i5-12400/メモリ 16GB/SSD 512GB/Windows 11 Home/WPS Office 2 Standard Edition/ブラック],"￥129,800"
